dep_delay,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,time_hour,airline_name,flight_date,departure_time,arrival_time,dep_delay_status,distance_category
2,11,UA,1545,N14228,EWR,IAH,227,1400,01-01-2013 05:00,United Air Lines Inc.,01-01-2013,05:17:00 AM,08:30:00 AM,Delayed,Medium  Haul
4,20,UA,1714,N24211,LGA,IAH,227,1416,01-01-2013 05:00,United Air Lines Inc.,01-01-2013,05:33:00 AM,08:50:00 AM,Delayed,Medium  Haul
2,33,AA,1141,N619AA,JFK,MIA,160,1089,01-01-2013 05:00,American Airlines Inc.,01-01-2013,05:42:00 AM,09:23:00 AM,Delayed,Medium  Haul
-1,-18,B6,725,N804JB,JFK,BQN,183,1576,01-01-2013 05:00,Jetblue Airways,01-01-2013,05:44:00 AM,10:04:00 AM,On Time,Long Haul
-6,-25,DL,461,N668DN,LGA,ATL,116,762,01-01-2013 06:00,Delta Air Lines Inc.,01-01-2013,05:54:00 AM,08:12:00 AM,On Time,Medium  Haul
-4,12,UA,1696,N39463,EWR,ORD,150,719,01-01-2013 05:00,United Air Lines Inc.,01-01-2013,05:54:00 AM,07:40:00 AM,On Time,Medium  Haul
-5,19,B6,507,N516JB,EWR,FLL,158,1065,01-01-2013 06:00,Jetblue Airways,01-01-2013,05:55:00 AM,09:13:00 AM,On Time,Medium  Haul
-3,-14,EV,5708,N829AS,LGA,IAD,53,229,01-01-2013 06:00,Expressjet Airlines Inc.,01-01-2013,05:57:00 AM,07:09:00 AM,On Time,Short Haul
-3,-8,B6,79,N593JB,JFK,MCO,140,944,01-01-2013 06:00,Jetblue Airways,01-01-2013,05:57:00 AM,08:38:00 AM,On Time,Medium  Haul
-2,8,AA,301,N3ALAA,LGA,ORD,138,733,01-01-2013 06:00,American Airlines Inc.,01-01-2013,05:58:00 AM,07:53:00 AM,On Time,Medium  Haul
-2,-2,B6,49,N793JB,JFK,PBI,149,1028,01-01-2013 06:00,Jetblue Airways,01-01-2013,05:58:00 AM,08:49:00 AM,On Time,Medium  Haul
-2,-3,B6,71,N657JB,JFK,TPA,158,1005,01-01-2013 06:00,Jetblue Airways,01-01-2013,05:58:00 AM,08:53:00 AM,On Time,Medium  Haul
-2,7,UA,194,N29129,JFK,LAX,345,2475,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,05:58:00 AM,09:24:00 AM,On Time,Long Haul
-2,-14,UA,1124,N53441,EWR,SFO,361,2565,01-01-2013 06:00,United Air Lines Inc.,01-01-2013,05:58:00 AM,09:23:00 AM,On Time,Long Haul
-1,31,AA,707,N3DUAA,LGA,DFW,257,1389,01-01-2013 06:00,American Airlines Inc.,01-01-2013,05:59:00 AM,09:41:00 AM,On Time,Medium  Haul
